timestamp,tx,ty,tz,qx,qy,qz,qw,kf_id,map_id
1772193964.645912,2.806546,0.639074,11.435205,0.038656,-0.541373,0.041617,0.838862,150,0
1772193963.985912,3.691919,0.710691,10.955207,0.019696,-0.553389,0.018602,0.832482,146,0
1772193963.160922,4.522071,0.787950,10.292811,0.030306,-0.518719,0.021678,0.854132,140,0
1772193963.050924,4.625839,0.800218,10.208091,0.017847,-0.520943,0.027070,0.852976,139,0
1772193963.545900,4.168112,0.727418,10.602884,0.042171,-0.501339,0.024708,0.863869,143,0
1772193963.820903,3.873559,0.760528,10.824074,0.021831,-0.534545,0.018685,0.844651,145,0
1772193963.270909,4.416420,0.760641,10.386904,0.037504,-0.508215,0.007524,0.860380,141,0
1772193965.470896,1.671865,0.610690,11.798001,0.026056,-0.643054,0.019625,0.765126,155,0
1772193964.810896,2.575597,0.655867,11.533024,0.021372,-0.537757,0.034531,0.842121,151,0
1772193963.380863,4.317358,0.736682,10.476268,0.041831,-0.503991,0.019776,0.862469,142,0
1772193964.150903,3.505391,0.684634,11.059895,0.038915,-0.577978,0.024643,0.814751,147,0
1772193963.655910,4.055923,0.745313,10.688804,0.035527,-0.510314,0.020744,0.859004,144,0
1772193964.315902,3.272458,0.707063,11.188478,0.036685,-0.574305,0.021248,0.817543,148,0
1772193964.480919,3.034159,0.677036,11.316042,0.047195,-0.555264,0.022929,0.830017,149,0
1772193967.835889,-1.840067,0.459961,12.988194,0.035558,-0.641632,0.012009,0.766093,166,0
1772193966.570893,0.060047,0.538693,12.265296,0.022948,-0.636162,0.027216,0.770734,160,0
1772193965.910903,1.015167,0.583476,12.052550,0.029348,-0.584078,0.016097,0.811007,157,0
1772193966.130897,0.703081,0.597997,12.160966,0.024248,-0.579433,0.025959,0.814245,158,0
1772193964.975894,2.337266,0.677218,11.621571,0.012437,-0.561511,0.039929,0.826412,152,0
1772193965.140900,2.115977,0.640093,11.685493,-0.001838,-0.597368,0.035513,0.801178,153,0
1772193966.350892,0.363948,0.569104,12.230033,-0.002391,-0.594437,0.034307,0.803406,159,0
1772193967.230914,-0.987671,0.539997,12.711017,0.007541,-0.568844,0.017698,0.822220,163,0
1772193966.790897,-0.294951,0.551221,12.369949,0.039822,-0.637689,0.012600,0.769161,161,0
1772193965.305891,1.897660,0.603083,11.737909,0.013708,-0.628562,0.025993,0.777204,154,0
1772193965.690887,1.335449,0.607258,11.911250,0.038704,-0.613874,0.005978,0.788432,156,0
1772193967.450884,-1.318974,0.515440,12.849297,0.008084,-0.588707,0.031689,0.807685,164,0
1772193967.010918,-0.647102,0.530513,12.539144,0.026619,-0.601051,0.009298,0.798713,162,0
1772193968.495899,-2.804086,0.421716,13.333452,0.039072,-0.632427,0.003719,0.773625,171,0
1772193969.045894,-3.572954,0.373379,13.429132,0.050737,-0.724701,0.007370,0.687154,175,0
1772193968.880882,-3.356827,0.378598,13.425289,0.037570,-0.701583,0.011414,0.711505,174,0
1772193968.000902,-2.083230,0.472402,13.075569,0.049684,-0.638479,-0.005491,0.768014,167,0
1772193968.110885,-2.245992,0.460141,13.143606,0.040326,-0.625903,-0.017973,0.778650,168,0
1772193968.605883,-2.970243,0.418333,13.376317,0.035833,-0.647653,0.014128,0.760962,172,0
1772193968.715829,-3.142740,0.392226,13.410510,0.018839,-0.668182,0.010938,0.743679,173,0
1772193968.385885,-2.639243,0.399051,13.284176,0.046336,-0.620359,0.004502,0.782935,170,0
1772193968.275901,-2.474688,0.418986,13.225164,0.043009,-0.618649,-0.000785,0.784489,169,0
1772193967.670881,-1.609396,0.440097,12.930719,0.030479,-0.629620,0.026839,0.775841,165,0
1772193970.365877,-5.197710,0.301427,13.282643,0.076006,-0.819964,0.006321,0.567311,183,0
1772193969.210894,-3.818235,0.396490,13.423822,0.064630,-0.733776,0.000233,0.676310,176,0
1772193969.375894,-4.049699,0.357369,13.421421,0.063083,-0.731510,-0.005204,0.678886,177,0
1772193969.540875,-4.278331,0.321613,13.422977,0.059698,-0.735119,0.011981,0.675198,178,0
1772193973.445827,-4.959190,0.276073,13.466206,-0.068629,0.937776,-0.004265,-0.340364,197,0
1772193972.510878,-5.485779,0.290616,13.300167,0.057437,-0.834602,0.004289,0.547834,193,0
1772193969.705898,-4.483794,0.343208,13.404456,0.066517,-0.745512,0.018325,0.662911,179,0
